STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,6021,281733,507,27553,22,ISONE,604357.7,7029917,2368.7146957922832
MA,4510,225343,359,25656,22,ISONE,604357.7,7029917,2205.630756550895
MA,1931,114504,204,8410,22,ISONE,604357.7,7029917,723.002598323707
MA,928,69718,120,6752,22,ISONE,604357.7,7029917,580.4653441000796
MA,5240,302188,274,14578,22,ISONE,604357.7,7029917,1253.261816690012
MA,4531,221871,361,7121,22,ISONE,604357.7,7029917,612.1880502572079
MA,5667,311676,473,53654,22,ISONE,604357.7,7029917,4612.6018323971675
MA,9872,578787,531,28346,22,ISONE,604357.7,7029917,2436.8884247424253
MA,14600,782148,988,52970,22,ISONE,604357.7,7029917,4553.798767325417
MA,15299,957216,923,31855,22,ISONE,604357.7,7029917,2738.5550261119724
MA,1213,39805,122,16670,22,ISONE,604357.7,7029917,1433.1097876404515
MA,12328,1430966,499,32691,22,ISONE,604357.7,7029917,2810.425438977444
MA,9532,500957,764,36708,22,ISONE,604357.7,7029917,3155.7644921839046
MA,6452,377681,298,29561,22,ISONE,604357.7,7029917,2541.341237698823
MA,585,25360,90,6723,22,ISONE,604357.7,7029917,577.9722316920669
MA,10074,825143,402,11430,22,ISONE,604357.7,7029917,982.6301663305555
MA,2979,218790,235,9536,22,ISONE,604357.7,7029917,819.8041352693068
MA,6495,618400,512,15554,22,ISONE,604357.7,7029917,1337.1679446286491
MA,6451,361707,546,25522,22,ISONE,604357.7,7029917,2194.1108578380085
MA,15507,923409,706,31105,22,ISONE,604357.7,7029917,2674.077981077159
MA,3802,196199,322,12368,22,ISONE,604357.7,7029917,1063.269457320762
MA,14775,1101278,922,27071,22,ISONE,604357.7,7029917,2327.277448183243
MA,9358,1064522,649,24618,22,ISONE,604357.7,7029917,2116.3945262227135
MA,21776,1971234,882,23349,22,ISONE,604357.7,7029917,2007.2993660238094
MA,6973,487174,588,22970,22,ISONE,604357.7,7029917,1974.7169659328836
MA,5707,313118,304,2794,22,ISONE,604357.7,7029917,240.19848510302467
MA,3600,178056,563,50725,22,ISONE,604357.7,7029917,4360.797479187876
MA,2889,111603,310,19944,22,ISONE,604357.7,7029917,1714.5735815657567
MA,7473,566817,439,27761,22,ISONE,604357.7,7029917,2386.5963296152713
MA,8824,359785,801,28619,22,ISONE,604357.7,7029917,2460.358069135098
MA,2633,113820,335,15148,22,ISONE,604357.7,7029917,1302.26437091647
MA,202,12129,46,3334,22,ISONE,604357.7,7029917,286.62195752809026
MA,3762,212901,450,17366,22,ISONE,604357.7,7029917,1492.9444854327583
MA,21907,1508463,1282,42341,22,ISONE,604357.7,7029917,3640.030085092043
MA,855,47804,156,8263,22,ISONE,604357.7,7029917,710.3650974968835
